logtime,beam_current,beam_energy,integrated_current,integrated_colmn2.5Gev
2019-05-22 00:00:00.0,109.27,2499.845,5093.918,3376.0356
2019-05-22 00:00:10.0,109.25,2499.8623,5093.9185,3376.036
2019-05-22 00:00:20.0,109.27,2499.8662,5093.9185,3376.0361
2019-05-22 00:00:30.0,109.25,2499.861,5093.919,3376.0366
2019-05-22 00:00:40.0,109.22,2499.861,5093.919,3376.0369
2019-05-22 00:00:50.0,109.25,2499.864,5093.9194,3376.037
2019-05-22 00:01:00.0,109.24,2499.861,5093.92,3376.0374
2019-05-22 00:01:10.0,109.24,2499.8572,5093.92,3376.0378
2019-05-22 00:01:20.0,109.24,2499.8604,5093.9204,3376.038
2019-05-22 00:01:30.0,109.21,2499.8542,5093.921,3376.0383
2019-05-22 00:01:40.0,109.24,2499.8508,5093.921,3376.0386
2019-05-22 00:01:50.0,109.22,2499.8557,5093.9214,3376.039
2019-05-22 00:02:00.0,109.22,2499.855,5093.9214,3376.0393
2019-05-22 00:02:10.0,109.22,2499.8677,5093.922,3376.0396
2019-05-22 00:02:20.0,109.21,2499.848,5093.9224,3376.0398
2019-05-22 00:02:30.0,109.22,2499.8535,5093.9224,3376.04
2019-05-22 00:02:40.0,109.19,2499.8718,5093.923,3376.0405
2019-05-22 00:02:50.0,109.18,2499.874,5093.9233,3376.0408
2019-05-22 00:03:00.0,109.18,2499.8506,5093.9233,3376.041
2019-05-22 00:03:10.0,109.18,2499.8477,5093.924,3376.0413
2019-05-22 00:03:20.0,109.16,2499.856,5093.924,3376.0417
2019-05-22 00:03:30.0,109.18,2499.8594,5093.9243,3376.042
2019-05-22 00:03:40.0,109.16,2499.866,5093.925,3376.0422
2019-05-22 00:03:50.0,109.15,2499.8542,5093.925,3376.0425
2019-05-22 00:04:00.0,109.16,2499.8376,5093.9253,3376.043
2019-05-22 00:04:10.0,109.13,2499.8677,5093.926,3376.0432
2019-05-22 00:04:20.0,109.13,2499.8633,5093.926,3376.0435
2019-05-22 00:04:30.0,109.16,2499.8625,5093.9263,3376.0437
2019-05-22 00:04:40.0,109.12,2499.8574,5093.9263,3376.0442
2019-05-22 00:04:50.0,109.13,2499.8726,5093.927,3376.0444
2019-05-22 00:05:00.0,109.12,2499.8733,5093.9272,3376.0447
2019-05-22 00:05:10.0,109.12,2499.8586,5093.9272,3376.045
2019-05-22 00:05:20.0,109.13,2499.874,5093.9277,3376.0454
2019-05-22 00:05:30.0,109.1,2499.852,5093.9277,3376.0457
2019-05-22 00:05:40.0,109.1,2499.8682,5093.928,3376.046
2019-05-22 00:05:50.0,109.12,2499.8652,5093.9287,3376.0461
2019-05-22 00:06:00.0,109.09,2499.8398,5093.9287,3376.0466
2019-05-22 00:06:10.0,109.09,2499.8594,5093.929,3376.0469
2019-05-22 00:06:20.0,109.1,2499.8516,5093.9297,3376.047
2019-05-22 00:06:30.0,109.09,2499.8652,5093.9297,3376.0474
2019-05-22 00:06:40.0,109.07,2499.853,5093.93,3376.0479
2019-05-22 00:06:50.0,109.07,2499.8464,5093.93,3376.048
2019-05-22 00:07:00.0,109.06,2499.8413,5093.9307,3376.0483
2019-05-22 00:07:10.0,109.04,2499.8586,5093.931,3376.0486
2019-05-22 00:07:20.0,109.06,2499.8574,5093.931,3376.049
2019-05-22 00:07:30.0,109.03,2499.8513,5093.9316,3376.0493
2019-05-22 00:07:40.0,109.03,2499.866,5093.932,3376.0496
2019-05-22 00:07:50.0,109.03,2499.8623,5093.932,3376.0498
2019-05-22 00:08:00.0,109.03,2499.859,5093.9326,3376.05
2019-05-22 00:08:10.0,109.01,2499.848,5093.9326,3376.0505
2019-05-22 00:08:20.0,109.0,2499.8645,5093.933,3376.0508
2019-05-22 00:08:30.0,109.0,2499.8608,5093.9336,3376.051
2019-05-22 00:08:40.0,109.0,2499.8557,5093.9336,3376.0513
2019-05-22 00:08:50.0,108.96,2499.8682,5093.934,3376.0518
2019-05-22 00:09:00.0,108.98,2499.874,5093.9346,3376.052
2019-05-22 00:09:10.0,108.98,2499.859,5093.9346,3376.0522
2019-05-22 00:09:20.0,109.0,2499.8508,5093.935,3376.0525
2019-05-22 00:09:30.0,108.96,2499.8726,5093.935,3376.053
2019-05-22 00:09:40.0,108.95,2499.8586,5093.9355,3376.0532
2019-05-22 00:09:50.0,108.95,2499.8567,5093.936,3376.0535
2019-05-22 00:10:00.0,108.95,2499.8633,5093.936,3376.0537
2019-05-22 00:10:10.0,108.95,2499.8486,5093.9365,3376.0542
2019-05-22 00:10:20.0,108.95,2499.8506,5093.9365,3376.0544
2019-05-22 00:10:30.0,108.93,2499.864,5093.937,3376.0547
2019-05-22 00:10:40.0,108.93,2499.8484,5093.9375,3376.055
2019-05-22 00:10:50.0,108.93,2499.8557,5093.9375,3376.0554
2019-05-22 00:11:00.0,108.93,2499.867,5093.938,3376.0557
2019-05-22 00:11:10.0,108.92,2499.853,5093.9385,3376.056
2019-05-22 00:11:20.0,108.93,2499.8564,5093.9385,3376.0562
2019-05-22 00:11:30.0,108.92,2499.8662,5093.939,3376.0564
2019-05-22 00:11:40.0,108.93,2499.864,5093.939,3376.057
2019-05-22 00:11:50.0,108.92,2499.8704,5093.9395,3376.0571
2019-05-22 00:12:00.0,108.9,2499.8674,5093.94,3376.0574
2019-05-22 00:12:10.0,108.9,2499.874,5093.94,3376.0576
2019-05-22 00:12:20.0,108.89,2499.8682,5093.9404,3376.058
2019-05-22 00:12:30.0,108.87,2499.859,5093.941,3376.0583
2019-05-22 00:12:40.0,108.9,2499.863,5093.941,3376.0586
2019-05-22 00:12:50.0,108.89,2499.8572,5093.9414,3376.0588
2019-05-22 00:13:00.0,108.86,2499.8645,5093.9414,3376.0593
2019-05-22 00:13:10.0,108.87,2499.8674,5093.942,3376.0596
2019-05-22 00:13:20.0,108.87,2499.8674,5093.9424,3376.0598
2019-05-22 00:13:30.0,108.87,2499.8625,5093.9424,3376.06
